,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating
1033,300,No,No,1,2.9
1034,500,No,No,2,2.7
1035,350,No,No,1,3.6
1046,500,No,No,2,3.0
1052,700,No,No,2,2.9
1053,350,No,No,1,3.1
1054,500,No,No,2,2.9
1055,550,No,No,2,2.9
1063,700,No,No,2,3.2
1064,700,No,Yes,2,2.5
1065,200,No,No,1,3.5
1068,500,No,Yes,2,2.7
1069,200,No,No,1,3.0
1070,250,No,No,1,3.0
1071,100,No,No,1,2.9
1072,300,No,No,1,3.0
1073,150,No,No,1,3.1
1074,450,No,No,1,2.9
1075,500,No,No,2,3.0
1077,450,No,Yes,1,3.0
1078,600,No,No,2,2.9
1079,650,No,No,2,3.2
1080,550,No,Yes,2,3.4
1081,500,No,No,2,2.9
1082,450,No,No,1,3.0
1083,500,No,Yes,2,3.2
1084,300,No,No,1,3.1
1085,500,No,No,2,3.3
1086,500,No,Yes,2,3.4
1087,600,No,Yes,2,3.5
1088,200,No,No,1,3.1
1094,100,No,No,1,2.9
1095,550,No,No,2,3.0
1096,500,No,No,2,2.8
1097,400,No,No,1,2.8
1098,550,No,Yes,2,2.6
1099,550,No,No,2,3.0
1100,300,No,No,1,3.1
1101,600,No,No,2,3.1
1102,350,No,No,1,3.0
1103,400,No,No,1,3.0
1113,700,No,No,2,3.0
1114,1400,Yes,No,3,3.1
1115,1900,Yes,No,3,3.3
1116,150,No,No,1,2.8
1117,150,No,No,1,3.0
1118,300,No,Yes,1,3.6
1119,500,No,Yes,2,3.9
1122,2500,Yes,No,4,2.5
1123,650,No,Yes,2,3.4
1124,300,No,Yes,1,3.3
1125,500,No,Yes,2,3.4
1126,450,No,No,1,3.2
1127,600,No,No,2,2.9
1128,1500,Yes,No,3,2.6
1129,600,No,No,2,3.3
1130,700,No,No,2,3.2
1131,500,No,No,2,3.0
1132,600,No,No,2,2.7
1133,700,No,Yes,2,2.6
1134,500,No,Yes,2,3.3
1135,100,No,No,1,3.1
1136,600,No,Yes,2,3.6
1137,600,No,No,2,3.6
1138,1000,Yes,Yes,3,1.8
1139,400,No,No,1,3.3
1140,550,No,Yes,2,3.2
1141,800,No,No,3,4.5
1142,1100,No,No,4,4.8
1143,2000,No,No,4,4.4
1144,1500,No,No,4,3.5
1145,800,No,No,3,4.6
1146,1100,No,No,4,3.8
1147,1400,No,No,4,4.3
1148,1000,No,No,4,4.2
1149,1600,No,No,4,4.4
1150,800,No,No,3,3.7
1151,1300,No,No,4,4.3
1152,700,No,No,3,3.8
1153,800,No,No,3,4.2
1154,1100,No,No,4,4.6
1155,1500,No,No,4,3.7
1156,600,No,No,3,4.5
1157,1500,No,No,4,4.7
1158,800,No,No,3,4.3
1159,1100,No,No,4,4.4
1160,2000,No,No,4,4.2
1161,350,No,No,1,3.4
1162,800,Yes,Yes,2,2.7
1163,2000,Yes,Yes,4,4.3
1164,1400,Yes,Yes,3,4.0
1165,250,No,No,1,3.0
1166,200,No,No,1,3.0
1167,200,No,No,1,3.0
1169,1200,No,Yes,3,3.0
1170,500,No,Yes,2,3.1
1171,350,No,No,1,2.9
1188,1500,Yes,No,3,2.8
1189,2500,Yes,No,4,2.9
1190,500,No,Yes,2,3.9
1191,600,No,Yes,2,3.4
1192,700,No,No,2,3.4
1193,400,No,Yes,1,3.4
1194,900,Yes,Yes,2,3.3
1195,500,No,Yes,2,3.4
1196,500,No,Yes,2,2.5
1197,1600,Yes,Yes,3,3.8
1198,1400,Yes,Yes,3,3.9
1199,600,No,Yes,2,3.6
1200,400,No,Yes,1,4.3
1201,1500,Yes,No,3,3.8
1202,1000,Yes,No,3,3.0
1203,1800,Yes,No,3,3.5
1204,2200,Yes,No,4,3.5
1205,1300,Yes,No,3,3.4
1206,2700,No,No,4,3.2
1208,1700,No,No,3,3.9
1209,800,Yes,Yes,2,3.7
1210,1700,Yes,No,3,3.7
1211,1000,No,Yes,3,3.5
1212,1500,Yes,Yes,3,4.0
1213,1300,Yes,No,3,4.2
1214,1500,Yes,Yes,3,4.2
1215,1600,Yes,No,3,4.1
1216,3500,Yes,No,4,3.9
1217,5000,Yes,No,4,3.7
1218,700,No,Yes,2,2.8
1219,1000,Yes,Yes,3,3.3
1220,1500,Yes,No,3,4.6
1221,1200,No,No,3,4.6
1222,1800,No,No,3,4.5
1223,1200,Yes,Yes,3,3.7
1224,600,No,Yes,2,3.7
1225,2500,Yes,Yes,4,3.7
1226,200,No,Yes,1,3.7
1227,400,No,Yes,1,3.6
1228,1250,Yes,No,3,3.9
1229,600,No,Yes,2,3.8
1230,1800,Yes,No,3,3.6
1231,1500,Yes,No,3,3.6
1232,350,No,Yes,1,3.9
1233,1100,No,No,3,3.6
1234,1700,Yes,Yes,3,3.8
1235,2000,Yes,No,4,3.9
1236,600,No,Yes,2,3.9
1237,2000,Yes,Yes,4,3.8
1238,700,No,Yes,2,3.6
1239,1400,Yes,Yes,3,3.5
1240,1400,No,No,3,3.9
1241,700,No,No,2,3.9
1242,2300,No,No,4,3.8
1243,550,No,Yes,2,3.8
1244,1700,Yes,No,3,3.7
1245,600,No,Yes,2,3.8
1246,400,No,Yes,1,3.9
1247,2000,Yes,No,4,2.4
1248,2000,No,No,4,4.0
1249,1500,Yes,Yes,3,4.3
1250,800,Yes,Yes,2,4.0
1251,2000,Yes,Yes,4,4.0
1252,2200,No,No,4,4.3
1253,2500,Yes,No,4,4.1
1254,900,Yes,Yes,2,4.0
1255,1500,Yes,No,3,4.0
1256,1200,Yes,Yes,3,4.0
1257,1750,Yes,No,3,4.1
1258,1300,No,No,3,4.0
1259,1500,Yes,No,3,4.0
1260,1200,Yes,No,3,3.1
1261,400,No,Yes,1,3.8
1262,1500,No,No,3,3.8
1263,700,No,No,2,2.4
1264,1800,Yes,Yes,3,4.2
1265,1700,Yes,No,3,3.4
1266,700,No,Yes,2,3.3
1267,500,No,No,2,2.5
1268,300,No,Yes,1,3.8
1269,350,No,Yes,1,3.7
1270,700,Yes,Yes,2,3.8
1271,350,No,Yes,1,3.8
1272,650,No,Yes,2,3.9
1273,900,Yes,Yes,2,3.6
1274,400,No,Yes,1,3.8
1275,800,No,Yes,2,3.5
1276,700,No,No,2,3.5
1277,500,No,Yes,2,3.5
1278,800,No,No,2,2.4
1279,400,No,Yes,1,4.3
1280,800,Yes,Yes,2,4.0
1281,2500,No,No,4,4.1
1282,650,No,Yes,2,3.2
1283,450,No,No,1,2.6
1284,700,No,No,2,2.8
1285,1500,No,No,3,3.0
1286,500,No,No,2,2.6
1287,500,No,No,2,3.3
1288,800,No,Yes,2,2.8
1289,300,No,No,1,3.3
1290,350,No,No,1,3.3
1291,500,No,No,2,3.1
1292,600,No,Yes,2,2.5
1293,2000,Yes,Yes,4,3.9
1294,800,No,Yes,2,3.5
1296,500,No,Yes,2,2.2
1297,800,No,No,2,3.4
1298,150,No,No,1,3.1
1299,800,No,Yes,2,3.2
1300,200,No,No,1,2.9
1301,250,No,No,1,3.0
1302,600,No,No,2,2.9
1303,750,No,No,2,3.4
1304,550,No,No,2,3.2
1305,650,No,No,2,3.2
1306,650,No,No,2,3.1
1307,700,No,No,2,2.9
1308,200,No,No,1,2.9
1309,500,No,Yes,2,2.8
1310,500,No,No,2,3.1
1311,600,No,Yes,2,3.1
1312,500,No,Yes,2,4.6
1313,1500,No,Yes,3,3.9
1314,200,No,Yes,1,3.8
1315,700,No,Yes,2,3.9
1316,1000,No,Yes,3,3.8
1317,600,No,Yes,2,3.5
1318,700,No,Yes,2,3.6
1319,1300,No,Yes,3,3.8
1324,500,No,Yes,2,3.8
1334,350,No,Yes,1,2.5
1335,400,No,No,1,3.2
1336,400,No,Yes,1,3.0
1337,200,No,No,1,2.6
1338,700,No,Yes,2,3.2
1339,350,No,No,1,3.3
1340,450,No,No,1,3.1
1341,450,No,No,1,3.2
1342,400,No,Yes,1,3.2
1343,600,No,Yes,2,3.3
1344,200,No,Yes,1,2.8
1345,600,No,Yes,2,2.9
1346,600,No,Yes,2,3.0
1347,300,No,Yes,1,3.4
1348,700,No,No,2,3.0
1349,300,No,No,1,3.2
1350,550,No,Yes,2,3.4
1351,550,No,Yes,2,3.4
1352,450,No,No,1,2.7
1353,300,No,No,1,3.3
1354,300,No,No,1,3.4
1355,150,No,Yes,1,3.1
1356,400,No,Yes,1,2.5
1357,400,No,Yes,1,2.5
1358,400,No,Yes,1,3.4
1359,600,No,Yes,2,2.6
1360,400,No,Yes,1,3.1
1361,350,No,Yes,1,3.1
1362,300,No,No,1,3.1
1363,200,No,No,1,2.7
1364,1000,Yes,No,3,3.4
1365,500,No,Yes,2,3.2
1366,500,No,No,2,3.0
1367,200,No,Yes,1,3.2
1368,100,No,Yes,1,3.1
1369,300,No,No,1,3.2
1370,550,No,Yes,2,3.4
1371,300,No,Yes,1,3.2
1372,600,No,Yes,2,2.7
1373,700,No,Yes,2,2.9
1374,550,No,No,2,3.3
1375,350,No,Yes,1,3.0
1376,500,No,Yes,2,3.2
1377,400,No,No,1,3.2
1378,350,No,No,1,2.7
1379,600,No,Yes,2,3.3
1380,400,No,Yes,1,2.8
1381,500,No,Yes,2,4.9
1382,200,No,Yes,1,3.7
1383,300,No,Yes,1,3.6
1384,550,No,Yes,2,3.5
1385,400,No,Yes,1,3.9
1386,800,No,Yes,2,3.7
1387,300,No,No,1,3.6
1388,500,No,Yes,2,3.5
1389,250,No,Yes,1,3.5
1390,300,No,Yes,1,3.5
1391,400,No,No,1,3.6
1392,500,No,Yes,2,3.8
1393,1000,Yes,No,3,3.5
1394,500,No,Yes,2,3.5
1395,400,No,Yes,1,2.0
1396,500,No,Yes,2,2.1
1397,350,No,Yes,1,2.2
1398,500,No,No,2,2.2
1399,500,No,Yes,2,4.0
1400,400,No,Yes,1,4.3
1401,300,No,No,1,4.0
1402,700,No,Yes,2,4.3
1403,550,No,Yes,2,3.1
1404,1000,Yes,Yes,3,3.4
1405,500,No,Yes,2,3.4
1406,1000,No,Yes,3,3.7
1407,700,No,Yes,2,3.8
1408,800,No,Yes,2,3.5
1409,600,No,Yes,2,3.9
1410,800,No,Yes,2,3.8
1411,1200,No,Yes,3,3.5
1412,600,No,Yes,2,3.9
1413,600,No,Yes,2,3.8
1414,500,No,Yes,2,3.9
1415,750,No,Yes,2,3.6
1416,750,No,Yes,2,3.6
1417,850,No,Yes,2,4.2
1418,750,No,Yes,2,4.4
1419,1300,Yes,Yes,3,4.1
1420,600,No,Yes,2,4.0
1421,650,No,Yes,2,4.1
1422,650,No,Yes,2,4.1
1423,600,No,Yes,2,4.1
1424,600,No,Yes,2,3.4
1425,300,No,Yes,1,3.6
1426,400,No,Yes,1,3.9
1427,300,No,Yes,1,3.8
1428,400,No,No,1,3.1
1429,1100,Yes,Yes,3,3.4
1430,800,No,No,2,2.9
1431,550,No,No,2,3.6
1432,800,Yes,No,2,3.8
1433,1100,Yes,Yes,3,3.6
1434,1200,Yes,No,3,3.6
1435,1800,Yes,Yes,3,3.5
1436,350,No,No,1,3.5
1437,1000,Yes,Yes,3,3.8
1438,3200,Yes,No,4,4.2
1439,1400,Yes,Yes,3,4.1
1440,500,No,Yes,2,4.1
1441,1600,Yes,Yes,3,4.0
1442,1000,Yes,No,3,4.4
1443,3000,Yes,No,4,4.2
1444,1600,No,Yes,3,4.1
1445,2000,Yes,No,4,3.4
1446,3000,Yes,No,4,3.6
1447,650,No,Yes,2,3.3
1448,500,No,Yes,2,3.4
1449,2000,Yes,No,4,2.6
1450,500,No,Yes,2,2.6
1451,1100,Yes,Yes,3,2.7
1452,800,No,Yes,2,2.9
1453,150,No,No,1,3.8
1454,800,No,Yes,2,2.6
1455,500,No,Yes,2,3.2
1456,550,No,Yes,2,3.6
1457,1000,Yes,Yes,3,3.6
1458,700,No,Yes,2,3.8
1459,1000,No,No,3,3.6
1460,2000,Yes,No,4,4.0
1461,2500,Yes,No,4,2.6
1462,300,No,No,1,2.7
1463,1000,Yes,Yes,3,2.8
1464,2000,No,No,4,4.6
1465,1500,No,No,3,3.6
1466,1250,Yes,No,3,3.9
1467,1600,Yes,No,3,3.8
1468,700,No,Yes,2,4.1
1469,400,No,Yes,1,3.3
1470,1000,No,Yes,3,2.7
1471,550,No,Yes,2,2.8
1472,800,Yes,No,2,2.8
1473,850,Yes,No,2,3.2
1474,800,No,Yes,2,3.2
1475,800,No,Yes,2,3.3
1476,1000,Yes,Yes,3,3.4
1477,600,No,No,2,3.4
1478,1000,No,Yes,3,4.6
1479,2200,Yes,Yes,4,3.7
1480,500,No,No,2,3.6
1481,900,No,Yes,2,3.6
1482,500,No,No,2,3.8
1483,1500,No,Yes,3,3.5
1484,450,No,No,1,3.5
1485,550,No,Yes,2,3.6
1486,700,No,No,2,3.7
1487,1500,No,No,3,3.6
1488,2000,Yes,Yes,4,3.9
1489,1700,Yes,No,3,3.9
1490,2000,Yes,No,4,3.7
1491,700,No,Yes,2,3.5
1492,850,No,Yes,2,3.6
1493,1200,No,Yes,3,4.2
1494,1000,Yes,Yes,3,4.0
1495,700,No,Yes,2,4.0
1496,500,No,Yes,2,3.1
1497,500,No,Yes,2,2.8
1498,400,No,No,1,3.1
1499,1400,Yes,No,3,2.8
1501,1500,Yes,No,3,2.8
1503,1000,Yes,No,3,2.9
1504,1300,Yes,No,3,2.7
1505,450,No,Yes,1,3.4
1506,500,No,Yes,2,2.7
1507,800,No,Yes,2,3.6
1508,600,No,Yes,2,3.6
1509,600,No,Yes,2,3.8
1510,700,No,No,2,3.8
1511,500,No,Yes,2,4.0
1512,1500,Yes,No,3,3.8
1514,1000,Yes,No,3,2.7
1515,300,No,Yes,1,3.4
1516,1850,Yes,No,3,2.8
1517,1000,Yes,No,3,3.6
1518,1500,Yes,No,3,2.8
1519,500,No,No,2,3.7
1520,1000,No,No,3,3.7
1521,1600,Yes,No,3,3.4
1522,4500,Yes,No,4,3.6
1523,4000,Yes,No,4,4.1
1524,1900,Yes,No,3,3.0
1525,1400,Yes,No,3,3.0
1526,1200,Yes,No,3,3.0
1527,2000,Yes,No,4,3.2
1528,300,No,No,1,2.8
1529,650,No,No,2,3.3
1530,400,No,Yes,1,3.3
1531,300,No,Yes,1,3.2
1532,450,No,No,1,3.1
1533,800,No,No,2,2.8
1534,750,No,Yes,2,3.4
1535,550,No,Yes,2,3.2
1536,1800,Yes,No,3,2.6
1537,1200,Yes,No,3,3.2
1538,400,No,No,1,2.8
1539,600,No,No,2,2.7
1540,1200,Yes,No,3,2.8
1541,600,No,Yes,2,3.1
1542,2200,Yes,No,4,3.1
1543,2000,No,No,4,3.8
1544,1600,Yes,Yes,3,3.8
1545,550,No,Yes,2,3.6
1546,600,No,Yes,2,3.7
1547,2500,Yes,No,4,3.5
1548,200,No,Yes,1,3.6
1549,350,No,Yes,1,2.3
1550,600,No,No,2,2.4
1551,600,No,Yes,2,4.1
1552,600,No,No,2,3.3
1553,1500,Yes,No,3,3.5
1554,1500,No,No,3,3.7
1555,2000,Yes,No,4,4.1
1556,650,No,No,2,3.2
1557,350,No,No,1,3.0
1558,500,No,No,2,3.2
1559,450,No,No,1,2.6
1560,650,No,Yes,2,3.7
1561,700,No,No,2,3.5
1562,800,No,Yes,2,2.7
1563,550,No,No,2,3.3
1564,650,No,Yes,2,3.4
1565,600,No,No,2,3.4
1566,750,No,No,2,2.9
1567,500,No,Yes,2,3.4
1568,750,Yes,No,2,2.9
1569,700,No,Yes,2,2.6
1570,500,No,Yes,2,3.3
1571,350,No,No,1,3.4
1572,700,No,No,2,3.1
1573,600,No,Yes,2,3.7
1574,600,No,No,2,3.6
1575,400,No,No,1,3.6
1576,1000,Yes,Yes,3,3.6
1577,1500,Yes,No,3,3.5
1578,900,No,No,2,3.5
1579,2500,Yes,Yes,4,3.7
1580,400,No,Yes,1,3.7
1581,1400,Yes,No,3,3.8
1582,600,No,No,2,2.3
1583,1800,Yes,No,3,2.1
1584,600,No,Yes,2,2.3
1585,900,Yes,No,2,4.0
1586,450,No,No,1,3.3
1587,1500,Yes,Yes,3,3.4
1588,200,No,No,1,3.0
1589,400,No,No,1,2.9
1590,500,No,No,2,3.2
1591,500,No,No,2,3.2
1592,700,No,No,2,3.2
1593,100,No,No,1,3.2
1594,350,No,No,1,2.9
1595,200,No,Yes,1,3.4
1596,400,No,No,1,3.2
1597,600,No,No,2,3.1
1598,600,No,No,2,3.3
1599,150,No,No,1,3.1
1600,200,No,No,1,2.9
1601,1000,Yes,No,3,3.1
1602,500,No,Yes,2,2.6
1603,450,No,No,1,3.0
1604,250,No,No,1,3.1
1605,400,No,No,1,3.0
1606,500,No,No,2,3.3
1607,400,No,Yes,1,3.4
1608,600,No,No,2,3.4
1609,800,No,Yes,2,2.7
1610,400,No,No,1,2.9
1611,700,No,No,2,3.2
1612,450,No,No,1,3.1
1613,150,No,No,1,2.8
1614,150,No,No,1,3.0
1615,400,No,No,1,2.9
1616,700,No,No,2,3.0
1617,500,No,Yes,2,2.5
1618,250,No,No,1,3.3
1619,200,No,No,1,3.0
1620,200,No,No,1,2.8
1621,550,No,No,2,3.5
1622,100,No,No,1,3.6
1623,800,No,No,2,3.5
1629,800,No,Yes,2,2.2
1630,400,No,No,1,3.6
1631,700,No,No,2,2.4
1632,500,No,Yes,2,4.1
1633,1800,No,No,3,3.2
1634,800,Yes,Yes,2,3.4
1635,1400,No,Yes,3,3.8
1636,650,No,Yes,2,3.5
1637,1700,No,No,3,3.9
1638,600,No,Yes,2,3.7
1639,1500,Yes,No,3,3.5
1640,700,No,No,2,3.5
1641,300,No,No,1,3.1
1642,350,No,No,1,3.1
1643,450,No,No,1,2.9
1644,700,No,No,2,3.2
1645,200,No,No,1,3.2
1646,550,No,Yes,2,3.2
1647,200,No,No,1,2.9
1648,200,No,No,1,3.2
1649,600,No,No,2,2.9
1650,400,No,No,1,3.1
1651,800,Yes,No,2,2.7
1652,250,No,Yes,1,2.5
1653,300,No,No,1,3.0
1654,350,No,No,1,3.1
1655,400,No,No,1,3.1
1656,250,No,No,1,3.0
1690,1500,Yes,No,3,3.2
1691,3000,Yes,No,4,3.4
1692,1200,No,No,3,3.2
1693,2200,Yes,No,4,3.7
1694,3000,Yes,No,4,3.7
1695,2000,Yes,No,4,3.0
1696,350,No,Yes,1,3.1
1697,650,No,No,2,3.3
1698,450,No,No,1,2.8
1699,400,No,No,1,3.2
1700,700,No,Yes,2,2.8
1701,900,Yes,Yes,2,3.0
1702,700,No,No,2,2.8
1703,350,No,No,1,2.8
1704,500,No,No,2,3.4
1705,250,No,Yes,1,3.0
1706,500,No,Yes,2,3.2
1707,200,No,No,1,3.3
1708,500,No,No,2,3.7
1709,500,No,Yes,2,3.0
1710,700,No,Yes,2,3.2
1711,600,No,Yes,2,2.3
1712,1500,Yes,No,3,3.5
1713,200,No,No,1,3.2
1714,250,No,No,1,3.1
1715,600,No,No,2,3.6
1716,1800,No,No,3,2.4
1717,200,No,No,1,3.0
1718,1500,Yes,No,3,3.0
1720,150,No,No,1,2.8
1721,400,No,No,1,3.0
1722,400,No,No,1,2.9
1723,800,No,No,2,2.9
1724,300,No,No,1,3.2
1725,300,No,No,1,3.1
1726,450,No,No,1,2.8
1727,300,No,Yes,1,3.3
1728,200,No,No,1,3.0
1729,200,No,No,1,3.1
1730,200,No,No,1,3.1
1731,500,No,No,2,3.1
1732,600,No,No,2,2.8
1733,200,No,No,1,2.9
1734,200,No,No,1,3.2
1735,400,No,No,1,3.1
1736,350,No,No,1,3.4
1737,200,No,Yes,1,3.3
1738,200,No,Yes,1,3.3
1739,250,No,No,1,2.6
1740,500,No,Yes,2,2.7
1741,300,No,No,1,3.3
1742,300,No,No,1,3.4
1743,600,No,Yes,2,3.2
1744,800,Yes,No,2,2.9
1745,400,No,No,1,3.0
1746,600,No,Yes,2,3.1
1747,400,No,No,1,2.8
1748,500,No,Yes,2,3.0
1749,450,No,No,1,3.2
1750,600,No,No,2,2.9
1751,600,No,No,2,3.2
1752,650,No,Yes,2,2.7
1753,650,No,No,2,3.0
1754,900,Yes,No,2,3.1
1755,900,Yes,No,2,3.3
1756,200,No,No,1,2.9
1757,600,No,Yes,2,2.5
1758,400,No,No,1,2.8
1759,1000,Yes,No,3,3.0
1760,150,No,No,1,3.5
1761,200,No,No,1,3.5
1769,1000,No,Yes,3,2.4
1770,300,No,No,1,2.4
1771,400,No,Yes,1,2.4
1772,400,No,No,1,3.0
1773,400,No,No,1,2.9
1774,1000,Yes,No,3,2.9
1775,500,No,No,2,2.8
1776,500,No,No,2,3.0
1777,350,No,No,1,3.2
1778,650,No,Yes,2,2.9
1779,450,No,Yes,1,3.3
1780,300,No,No,1,2.9
1781,350,No,No,1,2.7
1782,500,No,No,2,3.5
1783,600,No,Yes,2,3.4
1804,700,No,No,2,3.3
1805,600,No,No,2,3.2
1806,400,No,Yes,1,2.7
1807,400,No,Yes,1,3.5
1811,400,No,No,1,3.0
1820,600,No,Yes,2,3.4
1821,1100,Yes,Yes,3,3.3
1822,700,No,Yes,2,2.9
1823,600,No,Yes,2,3.0
1824,500,No,Yes,2,3.3
1825,800,No,Yes,2,2.7
1826,850,Yes,No,2,3.6
1827,900,No,No,2,3.9
1832,900,Yes,No,2,3.3
1833,1800,Yes,No,3,3.3
1834,800,No,Yes,2,3.4
1835,600,No,No,2,2.7
1836,1400,Yes,Yes,3,3.3
1837,1200,Yes,No,3,4.7
1838,1500,Yes,No,3,4.8
1839,1500,Yes,No,3,4.8
1840,2000,Yes,Yes,4,3.9
1841,1400,Yes,No,3,3.5
1842,550,No,Yes,2,3.8
1843,1500,Yes,Yes,3,3.5
1844,700,No,No,2,3.6
1845,500,No,No,2,3.7
1846,1500,Yes,No,3,3.5
1847,1600,Yes,No,3,3.6
1848,1500,Yes,No,3,3.8
1849,500,No,Yes,2,3.5
1850,1500,Yes,No,3,3.9
1851,1500,Yes,Yes,3,3.6
1852,1800,Yes,Yes,3,3.9
1853,1200,Yes,No,3,3.9
1854,700,No,No,2,3.7
1855,1500,Yes,No,3,3.6
1856,2000,Yes,No,4,3.9
1857,1400,Yes,No,3,4.0
1858,1600,Yes,No,3,4.4
1859,2100,No,No,4,4.1
1860,1500,No,No,3,4.1
1861,1800,No,No,3,4.4
1862,400,No,No,1,4.1
1863,2500,Yes,Yes,4,4.2
1864,1200,Yes,Yes,3,4.0
1865,1600,Yes,Yes,3,4.1
1866,1500,Yes,No,3,4.2
1867,3300,No,No,4,4.3
1868,1250,Yes,No,3,4.4
1869,1200,Yes,No,3,4.4
1870,650,No,Yes,2,3.8
1871,1850,Yes,No,3,4.0
1872,500,No,No,2,3.1
1873,450,No,No,1,2.7
1874,300,No,No,1,2.7
1875,450,No,No,1,3.1
1876,250,No,Yes,1,3.2
1877,200,No,No,1,3.2
1878,200,No,Yes,1,2.9
1879,850,No,No,2,2.9
1880,500,No,Yes,2,3.1
1881,200,No,No,1,3.1
1882,150,No,Yes,1,3.1
1883,350,No,No,1,3.1
1884,500,No,No,2,2.9
1885,250,No,No,1,3.3
1886,600,No,Yes,2,3.0
1887,500,No,No,2,2.7
1888,350,No,No,1,3.1
1889,450,No,No,1,2.5
1890,300,No,No,1,3.2
1891,400,No,No,1,2.9
1892,500,No,Yes,2,2.8
1893,500,No,Yes,2,4.5
1894,600,No,Yes,2,3.6
1895,250,No,Yes,1,3.8
1896,650,Yes,Yes,2,3.5
1897,600,No,Yes,2,3.9
1898,500,No,Yes,2,3.5
1899,400,No,Yes,1,3.9
1900,400,No,Yes,1,3.5
1905,350,No,Yes,1,2.4
1906,800,Yes,Yes,2,4.0
1907,500,No,No,2,3.0
1908,150,No,No,1,3.0
1927,600,No,Yes,2,3.0
1928,600,No,Yes,2,3.2
1929,400,No,No,1,4.1
1930,550,No,Yes,2,3.4
1931,600,No,Yes,2,3.2
1932,500,No,Yes,2,3.2
1933,200,No,No,1,3.2
1934,500,No,No,2,3.2
1935,600,No,Yes,2,3.3
1936,250,No,No,1,2.9
1937,600,No,No,2,3.3
1938,500,No,Yes,2,2.8
1939,300,No,Yes,1,3.2
1940,700,No,No,2,3.1
1941,200,No,No,1,3.2
1942,500,No,Yes,2,3.2
1943,650,No,Yes,2,3.7
1960,700,No,Yes,2,2.4
1961,300,No,No,1,2.8
1962,800,No,No,2,3.3
1965,1600,Yes,Yes,3,3.9
1966,500,No,Yes,2,2.4
1967,600,No,No,2,3.2
1968,300,No,Yes,1,3.0
1969,120,No,No,1,3.1
1970,400,No,Yes,1,3.3
1971,600,No,Yes,2,3.1
1972,100,No,No,1,3.0
1973,600,No,No,2,2.7
1974,600,No,No,2,3.0
1975,600,No,Yes,2,3.2
1976,300,No,No,1,3.0
1977,300,No,No,1,3.2
1978,300,No,No,1,3.3
1979,350,No,No,1,2.9
1980,500,No,No,2,3.2
1981,700,No,Yes,2,3.1
1982,600,No,No,2,2.9
1983,500,No,No,2,3.0
1984,200,No,No,1,3.0
1985,650,No,Yes,2,3.1
1986,600,No,Yes,2,2.6
1987,750,Yes,No,2,2.9
1988,500,No,Yes,2,2.8
1989,150,No,No,1,3.0
1990,500,No,No,2,3.6
1991,400,No,No,1,3.8
1992,350,No,Yes,1,3.9
1993,800,No,Yes,2,3.5
2018,800,No,No,2,2.2
2019,400,No,Yes,1,2.2
2020,650,No,No,2,2.4
2021,300,No,Yes,1,3.2
2022,600,No,Yes,2,2.8
2023,500,No,No,2,3.3
2024,300,No,No,1,3.4
2025,600,No,Yes,2,2.6
2026,200,No,Yes,1,2.8
2027,350,No,No,1,3.2
2028,450,No,Yes,1,3.2
2029,200,No,No,1,3.1
2030,550,No,Yes,2,3.7
2031,800,No,Yes,2,3.5
2032,150,No,No,1,3.6
2033,350,No,Yes,1,3.2
2034,200,No,No,1,2.8
2036,250,No,No,1,3.4
2037,700,No,Yes,2,3.3
2038,100,No,No,1,3.2
2039,450,No,No,1,2.7
2040,200,No,No,1,3.6
2041,650,No,No,2,4.0
2046,500,No,Yes,2,3.4
2047,1000,No,Yes,3,2.5
2048,400,No,Yes,1,3.3
2049,200,No,Yes,1,3.4
2050,500,No,No,2,3.3
2051,400,No,Yes,1,3.2
2052,550,No,Yes,2,3.3
2053,600,No,Yes,2,3.4
2054,150,No,No,1,3.4
2055,600,No,Yes,2,3.4
2056,1000,Yes,Yes,3,3.2
2057,750,Yes,No,2,3.1
2058,300,No,No,1,3.4
2059,400,No,No,1,2.9
2060,600,No,Yes,2,2.5
2061,400,No,No,1,3.1
2062,400,No,No,1,2.6
2063,500,No,Yes,2,2.9
2064,500,No,Yes,2,2.9
2065,800,No,No,2,3.3
2066,500,No,Yes,2,2.8
2067,1500,Yes,Yes,3,2.6
2068,1350,Yes,Yes,3,3.4
2069,600,No,No,2,3.4
2070,750,Yes,Yes,2,3.7
2071,200,No,Yes,1,3.5
2072,500,No,Yes,2,3.5
2073,1250,No,Yes,3,3.7
2074,400,No,Yes,1,3.9
2075,300,No,No,1,3.6
2076,1100,Yes,No,3,3.9
2077,600,No,Yes,2,3.9
2078,500,No,No,2,3.5
2079,1600,Yes,No,3,3.7
2080,500,No,No,2,3.6
2081,700,No,No,2,3.7
2082,950,No,Yes,2,3.5
2083,300,No,No,1,3.5
2084,700,No,No,2,2.3
2085,200,No,Yes,1,2.3
2086,450,No,No,1,2.4
2087,2500,Yes,No,4,4.1
2090,600,No,Yes,2,2.8
2091,100,No,No,1,2.8
2092,700,No,No,2,3.1
2098,600,No,Yes,2,3.4
2099,1800,Yes,Yes,3,4.5
2100,650,Yes,Yes,2,3.3
2101,950,No,Yes,2,3.4
2102,500,No,Yes,2,3.4
2103,850,Yes,Yes,2,3.2
2104,450,No,Yes,1,3.8
2105,400,No,Yes,1,3.7
2106,400,No,Yes,1,3.6
2107,300,No,Yes,1,3.9
2108,800,No,Yes,2,3.5
